,acc_test,acc_train,acc_val,fn_test,fn_val,fp_test,fp_val,name,precision_test,precision_val,recall_test,recall_val,roc_acc,roc_val
0,0.7772397398971159,0.8001684063358913,0.8161559888579387,7805,33,9906,33,SVC Lemm TFIDF Ngrams,0.7635235139651468,0.8186813186813187,0.8038402573575611,0.8186813186813187,0.7772159643200515,0.8161203203576085
1,0.775441156124618,0.7995170233385762,0.807799442896936,7957,36,9897,33,SVC Lemm TFIDF Ngrams Limited,0.7628268110906085,0.8156424581005587,0.8000201060594637,0.8021978021978022,0.7754191874272343,0.8078785621158503
2,0.7642974832404694,0.8278462259504631,0.7771587743732591,8739,37,10001,43,SVC Lemm TFIDF No CV,0.7563762149521327,0.7712765957446809,0.7803664329337254,0.7967032967032966,0.7642831207923575,0.7768827217979759
